,book,rating,title
129,/book/show/10440954-ambition-cliff,5.0,Ambition Cliff
130,/book/show/10445007-in-the-garden-of-beasts,3.83,In The Garden Of Beasts
131,/book/show/10448215-season-of-the-harvest,3.62,Season Of The Harvest
132,/book/show/10453727-called-to-coach,3.98,Called To Coach
133,/book/show/10459210-aztec-inca-maya-with-cdrom-and-charts,3.88,Aztec Inca Maya With Cdrom And Charts
134,/book/show/10464006-save-the-cat,4.06,Save The Cat
135,/book/show/10468400-demonglass,4.12,Demonglass
136,/book/show/10472293-real-happiness,4.13,Real Happiness
137,/book/show/10483301-the-places-that-scare-you,4.43,The Places That Scare You
138,/book/show/10483475-carte-blanche,3.61,Carte Blanche
139,/book/show/10483529-simply-magic,3.79,Simply Magic
140,/book/show/10485566-next-of-kin,3.76,Next Of Kin
141,/book/show/10485969-an-introduction-to-parapsychology,3.96,An Introduction To Parapsychology
142,/book/show/10507293-the-selection,4.14,The Selection
143,/book/show/10508526-the-chronicles-of-harris-burdick,3.92,The Chronicles Of Harris Burdick
144,/book/show/10518900-looking-for-alaska,4.06,Looking For Alaska
145,/book/show/10523967-the-dig,3.63,The Dig
146,/book/show/10538359-none-wounded-none-missing-all-dead,3.49,None Wounded None Missing All Dead
147,/book/show/10546379-parkour,4.16,Parkour
148,/book/show/10552338-reamde,3.97,Reamde
149,/book/show/10558499-magic-on-the-line,4.16,Magic On The Line
150,/book/show/10576365-the-darkest-minds,4.21,The Darkest Minds
151,/book/show/10583264-good-girls-don-t,3.63,Good Girls Don T
152,/book/show/10586539-wake,3.7,Wake
153,/book/show/10587120-killing-lincoln,4.03,Killing Lincoln
154,/book/show/10589860-smut,3.49,Smut
155,/book/show/10590879-damian-s-assassin,4.18,Damian S Assassin
156,/book/show/10594929-out-of-oz,3.84,Out Of Oz
157,/book/show/10595576-run,3.88,Run
158,/book/show/10599805-a-perfect-blood,4.38,A Perfect Blood
159,/book/show/10599986-stories-i-only-tell-my-friends,3.79,Stories I Only Tell My Friends
160,/book/show/10600242-how-to-be-a-woman,3.73,How To Be A Woman
161,/book/show/10602506-the-portland-vase,3.85,The Portland Vase
162,/book/show/10606009-dark-predator,4.22,Dark Predator
163,/book/show/10617429-pacific-avenue,3.46,Pacific Avenue
164,/book/show/10626594-the-scorpio-races,4.09,The Scorpio Races
165,/book/show/10629700-the-complete-h-p-lovecraft-collection-93-stories-and-7-essays,4.36,The Complete H P Lovecraft Collection 93 Stories And 7 Essays
166,/book/show/10635081-night-road,4.17,Night Road
167,/book/show/10637766-silence,4.14,Silence
168,/book/show/10644930-11-22-63,4.299999999999999,11 22 63
169,/book/show/10645233-do-the-work,4.01,Do The Work
170,/book/show/10659217-royal-pains,3.66,Royal Pains
171,/book/show/10661149-the-dark-tower,4.42,The Dark Tower
172,/book/show/10664113-a-dance-with-dragons,4.319999999999999,A Dance With Dragons
173,/book/show/10665948-the-fallen-angel,3.86,The Fallen Angel
174,/book/show/10674783-challenging-behavior-in-young-children,4.1,Challenging Behavior In Young Children
175,/book/show/10677213-van-gogh,4.1,Van Gogh
176,/book/show/10677277-article-5,3.77,Article 5
177,/book/show/10680329-a-trick-of-the-light,4.3,A Trick Of The Light
178,/book/show/10684738-publish-on-amazon-kindle-with-kindle-direct-publishing,3.8,Publish On Amazon Kindle With Kindle Direct Publishing
179,/book/show/10694722-complete-books-of-enoch,4.12,Complete Books Of Enoch
180,/book/show/10701114-the-angels-are-here,3.69,The Angels Are Here
181,/book/show/10706120-a-king-s-ransom,4.14,A King S Ransom
182,/book/show/10706388-call-me-by-your-name,4.28,Call Me By Your Name
183,/book/show/10723236-start-something-that-matters,4.02,Start Something That Matters
184,/book/show/10725889-en-la-aventura,5.0,En La Aventura
185,/book/show/10732698-how-to-save-an-hour-every-day,3.73,How To Save An Hour Every Day
186,/book/show/10744355-quickstep-to-murder,3.72,Quickstep To Murder
187,/book/show/10746542-the-sense-of-an-ending,3.71,The Sense Of An Ending
188,/book/show/10763598-daughter-of-smoke-and-bone,4.03,Daughter Of Smoke And Bone
189,/book/show/10763974-heart-shaped-box,3.83,Heart Shaped Box
190,/book/show/10766509-the-best-of-me,3.92,The Best Of Me
191,/book/show/10766829-the-honor-code,3.39,The Honor Code
192,/book/show/10777282-el-ruletista,4.15,El Ruletista
193,/book/show/10778566-thriven,4.75,Thriven
194,/book/show/10778948-down-the-darkest-road,4.04,Down The Darkest Road
195,/book/show/10779721-dead-of-night,3.97,Dead Of Night
196,/book/show/10780819-wolfram,4.06,Wolfram
197,/book/show/10785687-harry-potter-page-to-screen,4.56,Harry Potter Page To Screen
198,/book/show/10787596-full-wolf-moon,3.78,Full Wolf Moon
199,/book/show/10790277-rise-of-empire,4.36,Rise Of Empire
200,/book/show/10790290-theft-of-swords,4.223333333333334,Theft Of Swords
201,/book/show/10790516-lothaire,4.42,Lothaire
202,/book/show/10797784-devil-takes-a-bride,4.0,Devil Takes A Bride
203,/book/show/10798416-the-statistical-probability-of-love-at-first-sight,3.79,The Statistical Probability Of Love At First Sight
204,/book/show/10800916-awake-at-dawn,4.28,Awake At Dawn
205,/book/show/10801740-44,3.65,44
206,/book/show/10803121-the-alloy-of-law,4.21,The Alloy Of Law
207,/book/show/10803710-the-alloy-of-law,4.21,The Alloy Of Law
